timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1764718670365,30019,POST /tickets/reserve (eventId=2),Non HTTP response code: java.net.SocketTimeoutException,Non HTTP response message: Read timed out,Reservation Flow - 20 Users 1-4,text,false,Unexpected HTTP status,2709,0,20,20,http://localhost:8082/tickets/reserve,0,0,12
1764718669624,30025,Complete Reservation Flow,Non HTTP response code: java.net.SocketTimeoutException,"Number of samples in transaction : 1, number of failing samples : 1",Reservation Flow - 20 Users 1-2,,false,,2709,0,20,20,null,0,1408,25
1764718671032,30025,POST /tickets/reserve (eventId=1),Non HTTP response code: java.net.SocketTimeoutException,Non HTTP response message: Read timed out,Reservation Flow - 20 Users 1-2,text,false,Unexpected HTTP status,2709,0,20,20,http://localhost:8082/tickets/reserve,0,0,25
1764718669809,30004,Complete Reservation Flow,Non HTTP response code: java.net.SocketTimeoutException,"Number of samples in transaction : 1, number of failing samples : 1",Reservation Flow - 20 Users 1-5,,false,,2709,0,20,20,null,0,1372,3
1764718671180,30004,POST /tickets/reserve (eventId=4),Non HTTP response code: java.net.SocketTimeoutException,Non HTTP response message: Read timed out,Reservation Flow - 20 Users 1-5,text,false,Unexpected HTTP status,2709,0,20,20,http://localhost:8082/tickets/reserve,0,0,3
1764718669825,30004,Complete Reservation Flow,Non HTTP response code: java.net.SocketTimeoutException,"Number of samples in transaction : 1, number of failing samples : 1",Reservation Flow - 20 Users 1-3,,false,,2709,0,20,20,null,0,1634,3
1764718671457,30004,POST /tickets/reserve (eventId=1),Non HTTP response code: java.net.SocketTimeoutException,Non HTTP response message: Read timed out,Reservation Flow - 20 Users 1-3,text,false,Unexpected HTTP status,2709,0,20,20,http://localhost:8082/tickets/reserve,0,0,3
1764718671219,30003,Complete Reservation Flow,Non HTTP response code: java.net.SocketTimeoutException,"Number of samples in transaction : 1, number of failing samples : 1",Reservation Flow - 20 Users 1-9,,false,,2709,0,20,20,null,0,724,2
1764718671941,30003,POST /tickets/reserve (eventId=1),Non HTTP response code: java.net.SocketTimeoutException,Non HTTP response message: Read timed out,Reservation Flow - 20 Users 1-9,text,false,Unexpected HTTP status,2709,0,20,20,http://localhost:8082/tickets/reserve,0,0,2
1764718671171,30003,Complete Reservation Flow,Non HTTP response code: java.net.SocketTimeoutException,"Number of samples in transaction : 1, number of failing samples : 1",Reservation Flow - 20 Users 1-8,,false,,2709,0,20,20,null,0,950,2
1764718672120,30003,POST /tickets/reserve (eventId=4),Non HTTP response code: java.net.SocketTimeoutException,Non HTTP response message: Read timed out,Reservation Flow - 20 Users 1-8,text,false,Unexpected HTTP status,2709,0,20,20,http://localhost:8082/tickets/reserve,0,0,2
1764718671093,30015,Complete Reservation Flow,Non HTTP response code: java.net.SocketTimeoutException,"Number of samples in transaction : 1, number of failing samples : 1",Reservation Flow - 20 Users 1-6,,false,,2709,0,20,20,null,0,1064,3
1764718672156,30015,POST /tickets/reserve (eventId=3),Non HTTP response code: java.net.SocketTimeoutException,Non HTTP response message: Read timed out,Reservation Flow - 20 Users 1-6,text,false,Unexpected HTTP status,2709,0,20,20,http://localhost:8082/tickets/reserve,0,0,3
1764718673014,30004,Complete Reservation Flow,Non HTTP response code: java.net.SocketTimeoutException,"Number of samples in transaction : 1, number of failing samples : 1",Reservation Flow - 20 Users 1-10,,false,,2709,0,20,20,null,0,392,3
1764718673405,30004,POST /tickets/reserve (eventId=1),Non HTTP response code: java.net.SocketTimeoutException,Non HTTP response message: Read timed out,Reservation Flow - 20 Users 1-10,text,false,Unexpected HTTP status,2709,0,20,20,http://localhost:8082/tickets/reserve,0,0,3
1764718673142,30004,Complete Reservation Flow,Non HTTP response code: java.net.SocketTimeoutException,"Number of samples in transaction : 1, number of failing samples : 1",Reservation Flow - 20 Users 1-11,,false,,2709,0,20,20,null,0,664,3
1764718673805,30004,POST /tickets/reserve (eventId=3),Non HTTP response code: java.net.SocketTimeoutException,Non HTTP response message: Read timed out,Reservation Flow - 20 Users 1-11,text,false,Unexpected HTTP status,2709,0,20,20,http://localhost:8082/tickets/reserve,0,0,3
1764718674370,30009,Complete Reservation Flow,Non HTTP response code: java.net.SocketTimeoutException,"Number of samples in transaction : 1, number of failing samples : 1",Reservation Flow - 20 Users 1-12,,false,,2709,0,20,20,null,0,1048,2
1764718675417,30009,POST /tickets/reserve (eventId=2),Non HTTP response code: java.net.SocketTimeoutException,Non HTTP response message: Read timed out,Reservation Flow - 20 Users 1-12,text,false,Unexpected HTTP status,2709,0,20,20,http://localhost:8082/tickets/reserve,0,0,2
1764718675782,30003,Complete Reservation Flow,Non HTTP response code: java.net.SocketTimeoutException,"Number of samples in transaction : 1, number of failing samples : 1",Reservation Flow - 20 Users 1-13,,false,,2709,0,20,20,null,0,1510,2
1764718677291,30003,POST /tickets/reserve (eventId=3),Non HTTP response code: java.net.SocketTimeoutException,Non HTTP response message: Read timed out,Reservation Flow - 20 Users 1-13,text,false,Unexpected HTTP status,2709,0,20,20,http://localhost:8082/tickets/reserve,0,0,2
1764718676095,30015,Complete Reservation Flow,Non HTTP response code: java.net.SocketTimeoutException,"Number of samples in transaction : 1, number of failing samples : 1",Reservation Flow - 20 Users 1-14,,false,,2709,0,20,20,null,0,1783,2
1764718677876,30015,POST /tickets/reserve (eventId=4),Non HTTP response code: java.net.SocketTimeoutException,Non HTTP response message: Read timed out,Reservation Flow - 20 Users 1-14,text,false,Unexpected HTTP status,2709,0,20,20,http://localhost:8082/tickets/reserve,0,0,2
1764718679134,30003,Complete Reservation Flow,Non HTTP response code: java.net.SocketTimeoutException,"Number of samples in transaction : 1, number of failing samples : 1",Reservation Flow - 20 Users 1-15,,false,,2709,0,20,20,null,0,343,1
1764718679476,30003,POST /tickets/reserve (eventId=4),Non HTTP response code: java.net.SocketTimeoutException,Non HTTP response message: Read timed out,Reservation Flow - 20 Users 1-15,text,false,Unexpected HTTP status,2709,0,20,20,http://localhost:8082/tickets/reserve,0,0,1
1764718679124,30003,Complete Reservation Flow,Non HTTP response code: java.net.SocketTimeoutException,"Number of samples in transaction : 1, number of failing samples : 1",Reservation Flow - 20 Users 1-17,,false,,2709,0,20,20,null,0,843,2
1764718679966,30003,POST /tickets/reserve (eventId=3),Non HTTP response code: java.net.SocketTimeoutException,Non HTTP response message: Read timed out,Reservation Flow - 20 Users 1-17,text,false,Unexpected HTTP status,2709,0,20,20,http://localhost:8082/tickets/reserve,0,0,2
1764718678846,30008,Complete Reservation Flow,Non HTTP response code: java.net.SocketTimeoutException,"Number of samples in transaction : 1, number of failing samples : 1",Reservation Flow - 20 Users 1-16,,false,,2709,0,20,20,null,0,1534,2
1764718680379,30008,POST /tickets/reserve (eventId=3),Non HTTP response code: java.net.SocketTimeoutException,Non HTTP response message: Read timed out,Reservation Flow - 20 Users 1-16,text,false,Unexpected HTTP status,2709,0,20,20,http://localhost:8082/tickets/reserve,0,0,2
1764718681145,30002,Complete Reservation Flow,Non HTTP response code: java.net.SocketTimeoutException,"Number of samples in transaction : 1, number of failing samples : 1",Reservation Flow - 20 Users 1-18,,false,,2709,0,20,20,null,0,1389,1
1764718682533,30002,POST /tickets/reserve (eventId=4),Non HTTP response code: java.net.SocketTimeoutException,Non HTTP response message: Read timed out,Reservation Flow - 20 Users 1-18,text,false,Unexpected HTTP status,2709,0,20,20,http://localhost:8082/tickets/reserve,0,0,1
1764718681720,30014,Complete Reservation Flow,Non HTTP response code: java.net.SocketTimeoutException,"Number of samples in transaction : 1, number of failing samples : 1",Reservation Flow - 20 Users 1-19,,false,,2709,0,20,20,null,0,1259,1
1764718682978,30014,POST /tickets/reserve (eventId=5),Non HTTP response code: java.net.SocketTimeoutException,Non HTTP response message: Read timed out,Reservation Flow - 20 Users 1-19,text,false,Unexpected HTTP status,2709,0,20,20,http://localhost:8082/tickets/reserve,0,0,1
1764718683799,30006,Complete Reservation Flow,Non HTTP response code: java.net.SocketTimeoutException,"Number of samples in transaction : 1, number of failing samples : 1",Reservation Flow - 20 Users 1-20,,false,,2709,0,20,20,null,0,2036,2
1764718685834,30006,POST /tickets/reserve (eventId=2),Non HTTP response code: java.net.SocketTimeoutException,Non HTTP response message: Read timed out,Reservation Flow - 20 Users 1-20,text,false,Unexpected HTTP status,2709,0,20,20,http://localhost:8082/tickets/reserve,0,0,2
1764718699896,30003,Complete Reservation Flow,Non HTTP response code: java.net.SocketTimeoutException,"Number of samples in transaction : 1, number of failing samples : 1",Reservation Flow - 20 Users 1-7,,false,,2709,0,20,20,null,0,561,2
1764718700455,30003,POST /tickets/reserve (eventId=2),Non HTTP response code: java.net.SocketTimeoutException,Non HTTP response message: Read timed out,Reservation Flow - 20 Users 1-7,text,false,Unexpected HTTP status,2709,0,20,20,http://localhost:8082/tickets/reserve,0,0,2
1764718700024,30002,Complete Reservation Flow,Non HTTP response code: java.net.SocketTimeoutException,"Number of samples in transaction : 1, number of failing samples : 1",Reservation Flow - 20 Users 1-1,,false,,2709,0,20,20,null,0,1045,2
1764718701067,30002,POST /tickets/reserve (eventId=4),Non HTTP response code: java.net.SocketTimeoutException,Non HTTP response message: Read timed out,Reservation Flow - 20 Users 1-1,text,false,Unexpected HTTP status,2709,0,20,20,http://localhost:8082/tickets/reserve,0,0,2
1764718700387,30002,Complete Reservation Flow,Non HTTP response code: java.net.SocketTimeoutException,"Number of samples in transaction : 1, number of failing samples : 1",Reservation Flow - 20 Users 1-4,,false,,2709,0,20,20,null,0,817,1
1764718701203,30002,POST /tickets/reserve (eventId=3),Non HTTP response code: java.net.SocketTimeoutException,Non HTTP response message: Read timed out,Reservation Flow - 20 Users 1-4,text,false,Unexpected HTTP status,2709,0,20,20,http://localhost:8082/tickets/reserve,0,0,1
1764718702174,30003,Complete Reservation Flow,Non HTTP response code: java.net.SocketTimeoutException,"Number of samples in transaction : 1, number of failing samples : 1",Reservation Flow - 20 Users 1-6,,false,,2709,0,20,20,null,0,625,2
1764718702797,30003,POST /tickets/reserve (eventId=5),Non HTTP response code: java.net.SocketTimeoutException,Non HTTP response message: Read timed out,Reservation Flow - 20 Users 1-6,text,false,Unexpected HTTP status,2709,0,20,20,http://localhost:8082/tickets/reserve,0,0,2
1764718702126,30003,Complete Reservation Flow,Non HTTP response code: java.net.SocketTimeoutException,"Number of samples in transaction : 1, number of failing samples : 1",Reservation Flow - 20 Users 1-8,,false,,2709,0,20,20,null,0,704,2
1764718702828,30003,POST /tickets/reserve (eventId=4),Non HTTP response code: java.net.SocketTimeoutException,Non HTTP response message: Read timed out,Reservation Flow - 20 Users 1-8,text,false,Unexpected HTTP status,2709,0,20,20,http://localhost:8082/tickets/reserve,0,0,2
1764718701187,30002,Complete Reservation Flow,Non HTTP response code: java.net.SocketTimeoutException,"Number of samples in transaction : 1, number of failing samples : 1",Reservation Flow - 20 Users 1-5,,false,,2709,0,20,20,null,0,1766,2
1764718702951,30002,POST /tickets/reserve (eventId=1),Non HTTP response code: java.net.SocketTimeoutException,Non HTTP response message: Read timed out,Reservation Flow - 20 Users 1-5,text,false,Unexpected HTTP status,2709,0,20,20,http://localhost:8082/tickets/reserve,0,0,2
1764718701060,30003,Complete Reservation Flow,Non HTTP response code: java.net.SocketTimeoutException,"Number of samples in transaction : 1, number of failing samples : 1",Reservation Flow - 20 Users 1-2,,false,,2709,0,20,20,null,0,2256,2
1764718703315,30003,POST /tickets/reserve (eventId=2),Non HTTP response code: java.net.SocketTimeoutException,Non HTTP response message: Read timed out,Reservation Flow - 20 Users 1-2,text,false,Unexpected HTTP status,2709,0,20,20,http://localhost:8082/tickets/reserve,0,0,2
1764718701947,30003,Complete Reservation Flow,Non HTTP response code: java.net.SocketTimeoutException,"Number of samples in transaction : 1, number of failing samples : 1",Reservation Flow - 20 Users 1-9,,false,,2709,0,20,20,null,0,1438,2
1764718703384,30003,POST /tickets/reserve (eventId=1),Non HTTP response code: java.net.SocketTimeoutException,Non HTTP response message: Read timed out,Reservation Flow - 20 Users 1-9,text,false,Unexpected HTTP status,2709,0,20,20,http://localhost:8082/tickets/reserve,0,0,2
1764718701464,30003,Complete Reservation Flow,Non HTTP response code: java.net.SocketTimeoutException,"Number of samples in transaction : 1, number of failing samples : 1",Reservation Flow - 20 Users 1-3,,false,,2709,0,20,20,null,0,2136,2
1764718703599,30003,POST /tickets/reserve (eventId=5),Non HTTP response code: java.net.SocketTimeoutException,Non HTTP response message: Read timed out,Reservation Flow - 20 Users 1-3,text,false,Unexpected HTTP status,2709,0,20,20,http://localhost:8082/tickets/reserve,0,0,2
1764718703412,30013,Complete Reservation Flow,Non HTTP response code: java.net.SocketTimeoutException,"Number of samples in transaction : 1, number of failing samples : 1",Reservation Flow - 20 Users 1-10,,false,,2709,0,20,20,null,0,324,1
1764718703734,30013,POST /tickets/reserve (eventId=5),Non HTTP response code: java.net.SocketTimeoutException,Non HTTP response message: Read timed out,Reservation Flow - 20 Users 1-10,text,false,Unexpected HTTP status,2709,0,20,20,http://localhost:8082/tickets/reserve,0,0,1
1764718703811,30002,Complete Reservation Flow,Non HTTP response code: java.net.SocketTimeoutException,"Number of samples in transaction : 1, number of failing samples : 1",Reservation Flow - 20 Users 1-11,,false,,2709,0,20,20,null,0,2067,2
1764718705876,30002,POST /tickets/reserve (eventId=3),Non HTTP response code: java.net.SocketTimeoutException,Non HTTP response message: Read timed out,Reservation Flow - 20 Users 1-11,text,false,Unexpected HTTP status,2709,0,20,20,http://localhost:8082/tickets/reserve,0,0,2
1764718705428,30004,Complete Reservation Flow,Non HTTP response code: java.net.SocketTimeoutException,"Number of samples in transaction : 1, number of failing samples : 1",Reservation Flow - 20 Users 1-12,,false,,2709,0,20,20,null,0,1166,2
1764718706592,30004,POST /tickets/reserve (eventId=1),Non HTTP response code: java.net.SocketTimeoutException,Non HTTP response message: Read timed out,Reservation Flow - 20 Users 1-12,text,false,Unexpected HTTP status,2709,0,20,20,http://localhost:8082/tickets/reserve,0,0,2
1764718707893,30002,Complete Reservation Flow,Non HTTP response code: java.net.SocketTimeoutException,"Number of samples in transaction : 1, number of failing samples : 1",Reservation Flow - 20 Users 1-14,,false,,2709,0,20,20,null,0,1010,1
